,债券唯一标识(年份-季度-证券代码),发债主体评级发布时间(中诚信证券评估有限公司),发债主体评级类型(中诚信证券评估有限公司),发债主体评级信用等级(中诚信证券评估有限公司),发债主体评级评估机构(中诚信证券评估有限公司),发债主体评级投资等级(中诚信证券评估有限公司),发债主体评级预期(中诚信证券评估有限公司),发债主体评级等级含义(中诚信证券评估有限公司),发债主体评级发布时间(标准普尔评级服务公司),发债主体评级类型(标准普尔评级服务公司),发债主体评级信用等级(标准普尔评级服务公司),发债主体评级评估机构(标准普尔评级服务公司),发债主体评级投资等级(标准普尔评级服务公司),发债主体评级预期(标准普尔评级服务公司),发债主体评级等级含义(标准普尔评级服务公司),发债主体评级发布时间(联合资信评估有限公司),发债主体评级类型(联合资信评估有限公司),发债主体评级信用等级(联合资信评估有限公司),发债主体评级评估机构(联合资信评估有限公司),发债主体评级投资等级(联合资信评估有限公司),发债主体评级预期(联合资信评估有限公司),发债主体评级等级含义(联合资信评估有限公司),发债主体评级发布时间(联合信用评级有限公司),发债主体评级类型(联合信用评级有限公司),发债主体评级信用等级(联合信用评级有限公司),发债主体评级评估机构(联合信用评级有限公司),发债主体评级投资等级(联合信用评级有限公司),发债主体评级预期(联合信用评级有限公司),发债主体评级等级含义(联合信用评级有限公司),发债主体评级发布时间(中债资信评估有限责任公司),发债主体评级类型(中债资信评估有限责任公司),发债主体评级信用等级(中债资信评估有限责任公司),发债主体评级评估机构(中债资信评估有限责任公司),发债主体评级投资等级(中债资信评估有限责任公司),发债主体评级预期(中债资信评估有限责任公司),发债主体评级等级含义(中债资信评估有限责任公司),发债主体评级发布时间(穆迪公司),发债主体评级类型(穆迪公司),发债主体评级信用等级(穆迪公司),发债主体评级评估机构(穆迪公司),发债主体评级投资等级(穆迪公司),发债主体评级预期(穆迪公司),发债主体评级等级含义(穆迪公司),发债主体评级发布时间(大公国际资信评估有限公司),发债主体评级类型(大公国际资信评估有限公司),发债主体评级信用等级(大公国际资信评估有限公司),发债主体评级评估机构(大公国际资信评估有限公司),发债主体评级投资等级(大公国际资信评估有限公司),发债主体评级预期(大公国际资信评估有限公司),发债主体评级等级含义(大公国际资信评估有限公司),发债主体评级发布时间(中诚信国际信用评级有限责任公司),发债主体评级类型(中诚信国际信用评级有限责任公司),发债主体评级信用等级(中诚信国际信用评级有限责任公司),发债主体评级评估机构(中诚信国际信用评级有限责任公司),发债主体评级投资等级(中诚信国际信用评级有限责任公司),发债主体评级预期(中诚信国际信用评级有限责任公司),发债主体评级等级含义(中诚信国际信用评级有限责任公司)
16,2008-3-011102004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20080806,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
17,2016-3-011102001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160912,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
18,2014-2-011102004.IB,,,,,,,,,,,,,,,20140409,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20140411,长期信用评级,AAA,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,20140623,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20140408,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
19,2012-4-011001001.IB,,,,,,,,,,,,,,,20121018,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20121226,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
20,2010-3-011102003.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20100706,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20100719,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
21,2015-4-011001002.IB,,,,,,,,,,,,,,,20151021,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,20151216,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
22,2011-2-011102004.IB,,,,,,,,,,,,,,,20110510,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20110621,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20110624,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
23,2015-2-011102004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150410,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20150511,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
24,2016-3-011102005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160912,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
25,2015-4-011102001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20151013,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
26,2017-2-011105005.IB,,,,,,,,,,,,,,,,,,,,,,20170623,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2011-3-011101002.IB,,,,,,,,,,,,,,,20110902,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2012-4-011102005.IB,,,,,,,,,,,,,,,20121226,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20121226,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20121015,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
29,2016-4-011102004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20161008,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
30,2013-1-011104001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130320,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
31,2013-2-011101004.IB,,,,,,,,,,,,,,,20130624,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,20130416,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",20130511,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
32,2016-2-011103001.IB,,,,,,,,,,,,,,,20160629,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,20160527,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2011-4-011102003.IB,,,,,,,,,,,,,,,20111227,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20111130,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
34,2018-3-011105005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180726,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
35,2016-3-011101005.IB,,,,,,,,,,,,,,,20160725,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160728,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
36,2017-2-011101004.IB,20170605,长期信用评级,AAA,中诚信证券评估有限公司,投资级,稳定,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,,,,,,,,20170630,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20170626,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
37,2017-3-011105003.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170727,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
38,2011-1-011101001.IB,,,,,,,,,,,,,,,20110128,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2008-4-011101001.IB,,,,,,,,,,,,,,,20081014,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2017-1-011102004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170217,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
41,2012-2-011102001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20120510,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20120605,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
42,2008-4-011102002.IB,,,,,,,,,,,,,,,20081212,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20081226,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
43,2011-1-011101003.IB,,,,,,,,,,,,,,,20110128,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2013-2-011001001.IB,,,,,,,,,,,,,,,20130624,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,20130416,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",20130511,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
45,2017-2-011102005.IB,,,,,,,,,,,,,,,20170626,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20170621,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20170401,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
46,2009-3-011102002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20090724,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
47,2018-2-011105001.IB,,,,,,,,,,,,,,,,,,,,,,20180625,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,20180629,长期信用评级,AAA-,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
48,2018-1-011102002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180104,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
49,2015-2-011101003.IB,,,,,,,,,,,,,,,20150527,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20150602,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,20150420,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",20150626,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
50,2019-1-011101003.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190111,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,20190109,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
51,2009-1-011102004.IB,,,,,,,,,,,,,,,20090107,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2012-3-011105002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20120911,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
53,2014-2-011105004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140604,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
54,2018-2-011105004.IB,,,,,,,,,,,,,,,,,,,,,,20180625,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,20180629,长期信用评级,AAA-,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
55,2014-1-011001002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140324,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
56,2018-2-011105005.IB,,,,,,,,,,,,,,,,,,,,,,20180625,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,20180629,长期信用评级,AAA-,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
57,2015-4-011101004.IB,,,,,,,,,,,,,,,20151021,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,20151216,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
58,2013-2-011101003.IB,,,,,,,,,,,,,,,20130624,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,20130416,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",20130511,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
59,2010-3-011001002.IB,,,,,,,,,,,,,,,20100707,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2016-2-011104001.IB,,,,,,,,,,,,,,,20160622,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,20160425,长期信用评级,Aa3,穆迪公司,投资级,负面,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
