,证券代码,证券简称,信用评级,评级类型,评估机构,发债主体评级时间,发债主体评级预期,投资等级,等级含义
34,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20111114,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
35,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20120202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
36,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20120301,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
37,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20120328,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
38,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20130511,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
39,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
40,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20150626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
41,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20160622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
42,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20170626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
43,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20180625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
44,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20190621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
45,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20111114,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
46,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20120202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
47,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20120301,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
48,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20120328,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
49,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20130511,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
50,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
51,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20150626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
52,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20160622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
53,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20170626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
54,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20180625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
55,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20190621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
56,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20111114,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
57,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20120202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
58,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20120301,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
59,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20120328,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
60,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20130511,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
61,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
62,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20150626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
63,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20160622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
64,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20170626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
65,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20180625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
66,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20190621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
67,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20111114,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
68,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20120202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
69,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20120301,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
70,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20120328,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
71,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20130511,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
72,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
73,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20150626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
74,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20160622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
75,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20170626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
76,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20180625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
77,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20190621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
78,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20080321,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
79,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20081226,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
80,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20091202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
81,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20100128,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
82,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20100706,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
83,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20100720,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
84,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20110124,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
85,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20110621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
86,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20110629,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
87,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20120510,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
88,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20120525,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
89,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20121226,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
90,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20130625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
91,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20140310,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
92,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
93,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20150410,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
94,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20150625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
95,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20150910,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
96,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20160324,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
97,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20160624,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
98,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20170621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
99,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20180622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
100,011102001.IB,11铁道SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20190626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
101,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20080321,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
102,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20081226,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
103,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20091202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
104,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20100128,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
105,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20100706,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
106,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20100720,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
107,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20110124,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
108,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20110621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
109,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20110629,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
110,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20120510,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
111,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20120525,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
112,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20121226,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
113,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20130625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
114,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20140310,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
115,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
116,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20150410,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
117,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20150625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
118,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20150910,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
119,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20160324,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
120,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20160624,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
121,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20170621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
122,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20180622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
123,011102002.IB,11铁道SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20190626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
124,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20080321,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
125,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20081226,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
126,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20091202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
127,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20100128,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
128,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20100706,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
129,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20100720,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
130,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20110124,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
131,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20110621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
132,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20110629,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
133,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20120510,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
134,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20120525,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
135,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20121226,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
136,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20130625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
137,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20140310,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
138,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
139,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20150410,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
140,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20150625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
141,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20150910,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
142,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20160324,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
143,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20160624,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
144,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20170621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
145,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20180622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
146,011102003.IB,11铁道SCP003,AAA,长期信用评级,大公国际资信评估有限公司,20190626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
147,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20080321,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
148,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20081226,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
149,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20091202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
150,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20100128,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
151,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20100706,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
152,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20100720,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
153,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20110124,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
154,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20110621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
155,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20110629,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
156,011102004.IB,11铁道SCP004,AAA,长期信用评级,大公国际资信评估有限公司,20120510,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
