,证券代码,证券简称,发债主体评级等级,发债主体评级类型,发债主体评级机构,发债主体评级预期,发债主体评级时间
134,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20150730
135,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20151021
136,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20151216
137,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20151231
138,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20160120
139,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20160314
140,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,负面,20160330
141,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160413
142,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20160622
143,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20160725
144,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160728
145,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20170605
146,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20170626
147,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20170630
148,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20170727
149,011001002.IB,10中石油SCP002,A1,长期信用评级,穆迪公司,稳定,20170918
150,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180126
151,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20180425
152,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180621
153,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20180625
154,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20180626
155,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180727
156,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180815
157,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180912
158,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20181228
159,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190109
160,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20190111
161,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190218
162,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20190613
163,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20190618
164,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20190621
165,011001002.IB,10中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190628
166,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20081014
167,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20081208
168,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20090305
169,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20090327
170,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20090618
171,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20091015
172,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20091027
173,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20091214
174,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100401
175,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100514
176,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100526
177,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100629
178,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100707
179,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20110128
180,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,正面,20110408
181,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20110629
182,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20110902
183,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20110913
184,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20111020
185,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20111114
186,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20111231
187,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120202
188,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20120216
189,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120301
190,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120328
191,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,正面,20120410
192,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20120511
193,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20120629
194,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20120814
195,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20121018
196,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20121226
197,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20130416
198,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20130510
199,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20130511
200,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20130624
201,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20130729
202,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20131226
203,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20140324
204,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20140509
205,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20140609
206,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20140613
207,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20140623
208,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20140729
209,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20140901
210,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20141118
211,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20150122
212,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20150420
213,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20150527
214,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20150602
215,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20150612
216,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20150626
217,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20150730
218,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20151021
219,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20151216
220,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20151231
221,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20160120
222,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20160314
223,011101001.IB,11中石油SCP001,Aa3,长期信用评级,穆迪公司,负面,20160330
224,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160413
225,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20160622
226,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20160725
227,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160728
228,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20170605
229,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20170626
230,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20170630
231,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20170727
232,011101001.IB,11中石油SCP001,A1,长期信用评级,穆迪公司,稳定,20170918
233,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180126
234,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20180425
235,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180621
236,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20180625
237,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20180626
238,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180727
239,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180815
240,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180912
241,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20181228
242,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190109
243,011101001.IB,11中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20190111
244,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190218
245,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20190613
246,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20190618
247,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20190621
248,011101001.IB,11中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190628
249,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20081014
250,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20081208
251,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20090305
252,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20090327
253,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20090618
254,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20091015
255,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20091027
256,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20091214
257,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100401
258,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100514
259,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100526
260,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100629
261,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100707
262,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20110128
263,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,正面,20110408
264,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20110629
265,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20110902
266,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20110913
267,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20111020
268,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20111114
269,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20111231
270,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120202
271,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20120216
272,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120301
273,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120328
274,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,正面,20120410
275,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20120511
276,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20120629
277,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20120814
278,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20121018
279,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20121226
280,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20130416
281,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20130510
282,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20130511
283,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20130624
284,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20130729
